,ASIN,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#),7 Day Advertised SKU Units (#),7 Day Other SKU Units (#),7 Day Advertised SKU Sales,7 Day Other SKU Sales,CTR (%),CPC,Conversion Rate (%),ACOS (%),ROAS,Material,Brand,Niche,SKU,Hero ASIN,Task Owner,FNSKU,Stock FC,Available,Total Stock,SourceID,Type,Trend,Layout ( Text and Image),Number of Colors,Trend Quote,Recipient/Sender in the Message,Color,Message Content,Style Design,Tone Design,Motif Design,Idea Note,Product Type,Image_URL
20,B0DSBHGXC5,118313,1450,1531.49,2129.9,267,270,217,53,1703.43,426.47,1.225562702,1.0562,18.4137931,71.90431476,1.390737125,Rectangle Folded Card,MENANA,Mom,H20_GreCard_1507,,Tran Phuoc Tam,X004IVPH79,687,685,687,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4YllJZDo0NGRlNjQxNDIzZjJmMDgyZWRiZDllYzg3YThmZGIxYTox,,Trend tháng 5,Text + Art (Bottom),More than 3 colors,0,1,Bright,Funny  ,Cartoon,Cute,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81CLg4yFnuL._AC_SX679_.jpg
21,B0DSBJQ517,78118,382,375.41,413.59,58,61,30,31,198.7,214.89,0.489003815,0.982748691,15.18324607,90.76863561,1.101702139,Rectangle Folded Card,MENANA,Mom,H20_GreCard_1506,,Tran Phuoc Tam,X004IVTAC7,944,944,944,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV5WkZPRW85bTowYWIzYjE5YzhiNTUxMWRiN2M5MGRkYzA4ODQ0YjkyZjox,,"Christmas, Trend tháng 5",Text + Art (Bottom),More than 3 colors,0,1,Bright,Funny  ,Cartoon,Cute,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81Zxf+8BnbL._AC_SX679_.jpg
22,B0DSBLHTGP,252291,6353,3869.21,5253.84,686,756,602,154,4150.98,1102.86,2.518123912,0.609036676,10.79804817,73.64537177,1.357858581,Rectangle Folded Card,MENANA,Graduation,H20_GreCard_1512,,Tran Phuoc Tam,X004IW4S4L,2,0,2,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4TnZGVTo1YjViMmUzMjEzY2E3NWYyZjIzZjc1ZThiNTY5YWZlMjox,,Trend tháng 5,Text + Art (Center),More than 3 colors,0,0,Bright,Graduation Message,Watercolor,Elegant,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/8161hkIjDML._AC_SX466_.jpg
23,B0DSBLTYKQ,396213,4309,2719.57,3447.38,465,502,407,95,2765.53,681.85,1.087546345,0.631137155,10.79136691,78.88802511,1.267619513,Rectangle Folded Card,MENANA,Graduation,H20_GreCard_1511,,Tran Phuoc Tam,X004IW5GHJ,2,0,2,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4TW1lTDplMmRjMzNjNTAyYTY2MWNlNGY5NDk4NDQ0ODQzMTA0NDox,Rectangle Folded Card- DS D_c,Trend tháng 5,Text + Art (Center),1-3 colors,1,0,Seasonal Color  ,Graduation Message,Simple,Elegant,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/819iEIN4D4L._AC_SX466_.jpg
24,B0DSBN8NG7,73933,1597,1116.5,2431.07,322,353,301,52,2102.99,328.08,2.160063842,0.699123356,20.16280526,45.92627937,2.177402597,Rectangle Folded Card,MENANA,Graduation,H20_GreCard_1513,,Tran Phuoc Tam,X004IV8RC1,0,0,0,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4cjhIUDo3YWM2OTIxNGZiMDgzMmY3YjUwNmIzYmJkZDJmOWM0Nzox,Rectangle Folded Card- DS D_c,"Christmas, Trend tháng 5",Text + Art (One side),1-3 colors,1,0,Seasonal Color  ,Graduation Message,Simple,Elegant,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81LPdU4KSGL._AC_SL1500_.jpg
25,B0DSBNRXVC,195938,3387,2274.88,4126.93,578,608,544,64,3674.97,451.96,1.728608029,0.671650428,17.06524948,55.12281526,1.814130855,Rectangle Folded Card,MENANA,Graduation,H20_GreCard_1510,,Tran Phuoc Tam,X004IW5GKV,0,,0,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4OXFhZDo4Y2Y5NWQzYzE0YzE0MjcwMWIxYTlhY2FiMTZiYzkzNjox,,"Christmas, Trend tháng 5",Text + Art (Bottom),More than 3 colors,1,1,Bright,Funny  ,Cartoon,Cute,People,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81Hy+qI7UQL._AC_SL1500_.jpg
26,B0DSBP53B2,216596,4428,2811.4,4535.36,570,644,523,121,3663.37,871.99,2.044359083,0.634914182,12.87262873,61.98846398,1.613203386,Rectangle Folded Card,MENANA,Graduation,H20_GreCard_1514,,Tran Phuoc Tam,X004IV8RGH,2,1,2,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1ejV6MGV4aWJ6NzozZjg3ZTdmMTNiYzVjNzYzNjFkODgzOTM5NjQ2NWExZjox,,Trend tháng 5,Text + Art (Bottom),1-3 colors,1,0,Dark,Graduation Message,Simple,Elegant,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81KL8z5GR4L._AC_SL1500_.jpg
27,B0DXP2MQ4M,391893,4119,3448.19,4473.99,495,499,358,141,3267.92,1206.07,1.0510522,0.83714251,12.01747997,77.07192014,1.297489407,Square Folded Card,PAWZITY,Dad,H2O_GreCard_1525,,Nguyen Van Dung,X004KTD9UL,2260,2229,2260,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1RDJCTFliVG5yMjo4Y2E1ZDQ2YjY5NzZhZTI1YWM3MDI5NjEzNTg3MGIwNDox,,Father Day,Only Text ,1-3 colors,0,1,Bright,Sentimental  ,Vintage,Elegant,Object-based,,Square Folded Card,https://m.media-amazon.com/images/I/619x64I58CL._AC_SL1500_.jpg
28,B0DXP75D9W,796256,7211,7580.19,16114.33,1590,1798,1317,481,11902.97,4211.36,0.90561327,1.051198169,22.04964637,47.04005689,2.125847769,Rectangle Folded Card,PAWZITY,Dad,H2O_GreCard_1527,,Nguyen Uyen Phuong,X004KTCHRH,1624,1468,1624,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1RHY5SlpsTmVPMDoxZDg0ZjgzODUxZjNjMzI2NjNhMTIyNGZmMDRhNjdmNzox,,Father Day,Text + Cliparts,More than 3 colors,0,1,Bright,Fill-in-blank,Cartoon,Cute,Object-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81aErjimGhL._AC_SL1500_.jpg
29,B0DXP8VQ4B,697465,11510,8485.05,16320.61,1875,1927,1424,503,12314.46,4006.15,1.65026202,0.737189401,16.29018245,51.9897847,1.923454782,Rectangle Folded Card,PAWZITY,Dad,H2O_GreCard_1547,,Nguyen Huu Dat,X004KT8QJP,697,413,697,NzUxNjQ2MTcyODU3ODc5NzYwNjpyZWN1RHY5SlpsRHg1djpjZDJmNjQyNWRhZDZhZDQyYTlmNTM4NTY2YjQyMGZkYjox,,Father Day,Only Text ,More than 3 colors,0,0,Bright,Funny  ,Simple,Cute,Text-based,,Rectangle Folded Card,https://m.media-amazon.com/images/I/81ClcHqADmL._AC_SL1500_.jpg
